Byte,Count
176,1002957
50,1001286
23,1001097
80,1000965
126,1000784
93,1000634
119,1000525
204,1000462
239,1000406
250,1000354
108,1000352
127,1000307
137,1000271
191,1000111
9,1000070
199,1000052
47,1000039
97,1000024
216,999982
182,999982
25,999979
61,999974
10,999963
171,999950
12,999950
222,999945
195,999932
233,999915
164,999913
160,999891
227,999833
177,999809
15,999801
5,999787
153,999782
75,999779
58,999772
173,999748
213,999746
159,999722
209,999696
40,999685
104,999660
121,999658
35,999657
252,999628
33,999589
202,999586
124,999580
6,999537
81,999512
118,999430
59,999414
161,999410
162,999407
220,999405
120,999378
1,999376
187,999370
149,999359
115,999320
165,999316
140,999312
179,999301
251,999295
147,999292
91,999290
131,999289
102,999273
30,999263
73,999262
158,999250
254,999248
90,999246
150,999220
20,999211
71,999198
28,999180
180,999166
214,999162
31,999118
155,999116
170,999106
183,999090
223,999082
8,999079
145,999070
231,999067
105,999054
88,999019
237,999008
117,998992
39,998985
174,998984
235,998983
178,998964
243,998949
67,998949
154,998946
11,998938
218,998929
14,998920
79,998914
82,998906
128,998903
36,998902
196,998900
206,998898
181,998894
172,998856
133,998851
230,998841
249,998836
74,998823
219,998799
99,998797
103,998762
87,998757
226,998748
123,998744
101,998701
65,998698
45,998688
207,998673
157,998667
193,998639
96,998630
109,998625
62,998623
143,998620
238,998603
188,998590
186,998581
225,998569
68,998563
43,998561
92,998553
125,998552
116,998542
22,998533
4,998513
57,998509
203,998507
242,998496
95,998493
130,998487
136,998480
44,998478
246,998435
210,998435
221,998431
19,998423
112,998413
184,998406
215,998371
142,998369
236,998368
60,998348
114,998347
189,998344
0,998341
110,998334
56,998282
211,998278
169,998278
201,998278
229,998273
51,998239
2,998225
167,998220
132,998207
240,998207
78,998202
106,998179
70,998156
151,998149
111,998119
185,998107
76,998095
16,998088
156,998022
122,997979
212,997964
241,997939
86,997926
18,997914
89,997911
24,997896
85,997893
168,997875
7,997854
138,997853
253,997851
224,997843
245,997839
17,997832
228,997809
192,997806
46,997798
107,997797
129,997792
139,997788
54,997787
134,997776
135,997773
194,997758
234,997714
53,997674
41,997657
141,997627
27,997620
113,997611
52,997596
77,997591
146,997581
175,997576
26,997536
232,997525
37,997523
83,997435
34,997424
42,997335
248,997334
198,997299
48,997287
94,997285
72,997277
38,997269
64,997240
217,997235
144,997221
32,997137
84,997135
66,997078
69,997053
49,997050
190,997048
208,996977
163,996948
166,996941
100,996839
55,996804
152,996789
244,996740
63,996722
148,996720
255,996696
200,996644
197,996638
13,996616
247,996603
3,996555
98,996424
205,996140
29,996113
21,995878
