Byte,Count
0,51342239
72,9996771
255,6193927
137,5057365
36,4435639
1,4365939
15,3684618
139,3657559
116,3068581
232,2491129
8,2368731
68,2213140
65,2195930
2,2176891
76,2141504
101,2022024
141,1923815
95,1920789
16,1902393
73,1878912
69,1817007
32,1802865
14,1772409
111,1703916
131,1701322
4,1657517
3,1628894
49,1574433
114,1559941
132,1551903
5,1549203
97,1546141
105,1542075
102,1497578
115,1460767
133,1415186
192,1400958
110,1393727
99,1305348
108,1259834
24,1150914
117,1105062
199,1104328
112,1073008
100,1066349
48,1044754
83,1040005
64,1025373
31,967654
40,962228
233,946000
7,928734
10,879319
57,839286
80,824394
193,809616
128,807220
6,801950
56,799574
84,797009
46,789229
104,786780
66,786229
195,784275
254,716201
109,711238
11,708444
9,708435
78,694550
120,693867
77,664634
12,664551
144,663891
248,662572
98,657395
53,646341
67,630499
103,625666
13,623530
235,618596
239,617696
85,595741
41,595340
51,594463
204,592003
240,582967
224,581413
124,580857
246,579922
208,576465
58,575016
196,567868
96,563212
17,561091
198,549439
118,535254
223,534957
50,531743
136,525892
20,520881
121,518217
184,517243
71,513791
182,506465
92,503985
52,501408
93,497689
37,491483
200,483622
253,482493
19,474326
247,467181
88,466428
18,462496
188,461527
140,461473
47,454319
216,449506
119,449382
160,446387
91,444463
28,441355
44,437985
60,437575
186,436447
243,434486
70,430735
190,430544
194,429458
236,428174
54,427469
197,427258
251,417693
129,412604
252,412499
127,410408
176,407897
59,406811
126,404050
45,400736
82,399035
210,398961
33,396641
75,395218
90,392917
61,391316
250,390774
134,389747
191,389313
21,388902
55,388806
201,384938
107,383069
87,382651
25,378263
148,373388
231,370301
249,366047
156,365486
22,360574
86,359172
34,358333
42,355572
152,355571
125,354455
219,350365
79,348197
237,345006
168,339583
238,339226
23,337600
209,336249
242,331846
228,328812
123,327503
94,321436
180,319334
63,318712
26,317065
227,315741
27,315655
135,314365
74,313142
234,313106
43,312216
220,311582
29,311484
35,307259
226,307188
215,305406
143,305067
30,304315
189,304079
62,302865
222,302614
172,301425
244,300058
142,296970
225,296265
214,295552
230,292972
245,292589
241,292527
202,292289
185,292249
229,291199
218,289851
212,288954
207,287508
122,285191
39,280485
217,279227
81,277156
211,276434
159,275370
38,274419
187,274300
130,272871
206,272813
106,271620
175,270702
113,267287
213,264146
183,260389
89,260279
149,256763
164,255066
203,250027
205,248015
155,248010
145,244155
221,240597
181,238920
158,238664
147,234230
157,230971
174,229895
153,229449
138,225523
170,222369
151,220260
171,218815
161,214985
146,214150
163,213640
173,212930
150,212376
167,211600
169,210541
179,209767
165,208683
177,206775
162,201547
166,201405
154,198535
178,193557
